name,RMSE,RMSE_clean,MAE,MedAE,within_0.05,bias,n,secs,cfg,f0,f1,f2,f3
v2_w_gap,0.07693087710458842,0.06832662853313842,0.0458801826582691,0.029959541647206822,69.39905843256714,0.0003780873002894268,7222,98.6,"{""weight"": ""gap""}",0.06454463769751807,0.06957552343995466,0.08860343378833666,0.08367470677002353
v3_baseline,0.07656573346659361,0.06785903231463723,0.04528937668029583,0.029247301977590137,69.81445582941014,0.001197778392863248,7222,95.6,{},0.06452438741336022,0.06904151007374444,0.08807908538689742,0.08335536987122578
v3_lr02,0.07612740147694425,0.06738199572973322,0.04472935376533282,0.028410241176400966,70.22985322625311,0.0011244845923356146,7222,204.3,"{""params"": {""learning_rate"": 0.02}, ""n_estimators"": 2500}",0.0642504539604709,0.06877245288370896,0.08775898756459971,0.0823765392847738
v3_lr02_fair,0.07595327622860483,0.06716400744018809,0.04460616696884007,0.028591665773026936,70.28523954583218,0.0010017046702564198,7222,221.8,"{""params"": {""learning_rate"": 0.02, ""objective"": ""fair""}, ""n_estimators"": 2500}",0.0639892718337352,0.06826934917120342,0.08754885538805772,0.08269311591096898
v3_lr02_drop,0.07625905889275916,0.06752594080618346,0.04490188090572353,0.028879712359041132,70.42370534477985,0.001053393378645371,7222,211.1,"{""params"": {""learning_rate"": 0.02}, ""n_estimators"": 2500, ""drop_broken"": true}",0.06454512000639692,0.06874652584589534,0.08752131889206963,0.0830503522456277
v3_lr015,0.07627154195763908,0.06749315406419153,0.04483719982553142,0.02865077812853631,69.64829687067294,0.0011682072915206326,7222,268.4,"{""params"": {""learning_rate"": 0.015}, ""n_estimators"": 3500}",0.06437906075490381,0.0687480974457733,0.08773675924607095,0.08296589621990887
v3_lr02_md15,0.07604905540978019,0.06731044210044046,0.04473848959426103,0.028538391819019987,70.32677928551647,0.0014087345598580254,7222,210.4,"{""params"": {""learning_rate"": 0.02, ""min_data_in_leaf"": 15}, ""n_estimators"": 2500}",0.06429570081249128,0.06846226443401399,0.08760532295207073,0.08252847076316834
v3_abl_no_analog,0.07655511531577708,0.06796508224464907,0.04535504742283979,0.02924738354120006,69.77291608972584,0.00039977716755575674,7222,94.8,"{""drop_features"": [""analog""]}",0.06511103488894408,0.06875086134973848,0.08783630036318187,0.08336608377454548
v3_abl_no_date,0.07814234719368518,0.0696868751924853,0.04692465883304343,0.03177810401204867,68.49903073940736,-0.0003640242777731116,7222,87.0,"{""drop_features"": [""date_anom"", ""clim_plus_date""]}",0.0657845200611892,0.07251341136379393,0.08817060271837192,0.0853583229612822
v3_abl_no_harm,0.07631694838187421,0.06760393855906364,0.04516806123497089,0.029351281565225276,69.85599556909443,0.0010184459150826533,7222,91.7,"{""drop_features"": [""harm""]}",0.06474221814104134,0.06914798715180179,0.08805488387770646,0.08190050070362104
